,start,end,activity
0,1381387260,1381416120,sleep
1,1381386960,1381387260,inactive
2,1381386720,1381386960,light_activity
3,1381386300,1381386720,inactive
4,1381386060,1381386300,light_activity
5,1381384500,1381386060,inactive
6,1381384440,1381384500,light_activity
7,1381382640,1381384440,inactive
8,1381382340,1381382640,light_activity
9,1381381260,1381382340,inactive
10,1381381140,1381381260,light_activity
11,1381380960,1381381140,inactive
12,1381380900,1381380960,light_activity
13,1381378140,1381380900,inactive
14,1381377240,1381378140,light_activity
15,1381376400,1381377240,inactive
16,1381376340,1381376400,light_activity
17,1381375800,1381376340,inactive
18,1381375740,1381375800,light_activity
19,1381375140,1381375740,inactive
20,1381374300,1381375140,moderate_activity
21,1381372620,1381374300,inactive
22,1381372500,1381372620,light_activity
23,1381372320,1381372500,inactive
24,1381372260,1381372320,light_activity
25,1381371720,1381372260,inactive
26,1381371660,1381371720,light_activity
27,1381370160,1381371660,inactive
28,1381473840,1381475520,inactive
29,1381473660,1381473840,light_activity
30,1381473480,1381473660,inactive
31,1381473120,1381473480,light_activity
32,1381470540,1381473120,inactive
33,1381470480,1381470540,light_activity
34,1381470000,1381470480,inactive
35,1381469880,1381470000,light_activity
36,1381467660,1381469880,inactive
37,1381467540,1381467660,light_activity
38,1381466580,1381467540,inactive
39,1381465860,1381466580,light_activity
40,1381465380,1381465860,inactive
41,1381465320,1381465380,light_activity
42,1381464660,1381465320,inactive
43,1381464360,1381464660,light_activity
44,1381463040,1381464360,inactive
45,1381462980,1381463040,light_activity
46,1381460820,1381462980,inactive
47,1381460580,1381460820,light_activity
48,1381459260,1381460580,inactive
49,1381458960,1381459260,light_activity
50,1381458720,1381458960,inactive
51,1381458060,1381458720,light_activity
52,1381455480,1381458060,inactive
53,1381454820,1381455480,light_activity
54,1381453500,1381454820,inactive
55,1381453080,1381453500,light_activity
56,1381452780,1381453080,off_wrist
57,1381452600,1381452780,light_activity
58,1381450020,1381452600,inactive
59,1381449960,1381450020,light_activity
60,1381445580,1381449960,moderate_activity
61,1381445400,1381445580,light_activity
62,1381444620,1381445400,inactive
63,1381444140,1381444620,light_activity
64,1381440840,1381444140,inactive
65,1381439460,1381440840,light_activity
66,1381439160,1381439460,inactive
67,1381438980,1381439160,light_activity
68,1381434360,1381438980,inactive
69,1381434000,1381434360,light_activity
70,1381432860,1381434000,inactive
71,1381432740,1381432860,light_activity
72,1381432080,1381432740,inactive
73,1381431600,1381432080,light_activity
74,1381431120,1381431600,inactive
75,1381431060,1381431120,light_activity
76,1381430700,1381431060,inactive
77,1381430460,1381430700,light_activity
78,1381428420,1381430460,inactive
79,1381428120,1381428420,light_activity
80,1381426140,1381428120,inactive
81,1381425900,1381426140,light_activity
